Type,Era,Language,Geography,survey,objectID,mediaID,omekaID,Title,URL
Drawing (Historical Drawing),Frühe Neuzeit,de,Basel,,abb16026,m16026,10908,Petersplatz mit Zeughaus,https://forschung.stadtgeschichtebasel.ch/items/abb16026.html#m16026
"Scan of Newspapers, Posters, Lists etc.",Frühe Neuzeit,la,,,abb10333,m10333,10794,Anfang des Matthäusevangeliums im Novum Instrumentum omne,https://forschung.stadtgeschichtebasel.ch/items/abb10333.html#m10333
Art,Frühe Neuzeit,de,Basel,,abb19156,m19156,10964,"Hinrichtung von Johannes Fatio, Konrad Mosis und Johann Müller",https://forschung.stadtgeschichtebasel.ch/items/abb19156.html#m19156
Art,Frühe Neuzeit,de,Dreiland/NW-Switzerland/Upper Rhine,,abb11092,m11092,10817,Medaillon der Wibrandis Rosenblatt,https://forschung.stadtgeschichtebasel.ch/items/abb11092.html#m11092
Object,Frühe Neuzeit,de,Basel,,abb94047,m94047,12120,Schreibkalender von Lukas Vischer,https://forschung.stadtgeschichtebasel.ch/items/abb94047.html#m94047
Object,Frühe Neuzeit,de,Basel,,abb25143,m25143,11411,Musterbuch der Seidenbandfirma Emanuel Hoffmann-Werthemann,https://forschung.stadtgeschichtebasel.ch/items/abb25143.html#m25143
Art,Frühe Neuzeit,de,Worldwide,,abb21867,m21867,11409,Daniel Frischmann,https://forschung.stadtgeschichtebasel.ch/items/abb21867.html#m21867
Drawing (Historical Drawing),Frühe Neuzeit,de,Dreiland/NW-Switzerland/Upper Rhine,,abb19033,m19033,10958,Lage von Klein Hüningen,https://forschung.stadtgeschichtebasel.ch/items/abb19033.html#m19033
Photograph (Archaeological Site),21. Jahrhundert,de,Basel,1,abb37716,m37716,12043,Reste der Inneren Stadtmauer,https://forschung.stadtgeschichtebasel.ch/items/abb37716.html#m37716
Object,Frühe Neuzeit,de,Basel,,abb15630,m15630,10906,Giessfass und Handbecken aus Zinn,https://forschung.stadtgeschichtebasel.ch/items/abb15630.html#m15630
